id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
54,tmavý ležák kvasnicový,Avar,Hlučín,Moravskoslezský kraj,5.5,Neuvedené,Neuvedené,tmavý ležák,12,NULL,Neuvedené,Avar,Avar,231,NULL
55,Stormbreaker Triple NEIPA,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",21,9,Neuvedené,Axiom,Axiom Deer Bear,289,NULL
56,Acid Trip,Axiom,Prostějov,Olomoucký kraj,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ) Sour Ale,19,7.5,40,Axiom,Axiom,289,NULL
57,Ascent,Axiom,Prostějov,Olomoucký kraj,6,Neuvedené,"ananasové pivo ( ovocné pivo , ochucené pivo )",Sour Ale India Pale Ale ( Ale ),21,7,30,Axiom,Axiom,289,NULL
58,Autumn Lullaby,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",14,5.5,15,Axiom,Axiom,289,NULL
59,Caledonia IPA,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",14,6.199999809265137,52,Axiom,Axiom,289,NULL
60,Flivver,Axiom,Prostějov,Olomoucký kraj,6.199999809265137,Neuvedené,Neuvedené,American Barleywine ( Barley Wine ),25,11,Neuvedené,Axiom,Axiom,289,NULL
61,Foam Climb,Axiom,Prostějov,Olomoucký kraj,6,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",15,6.5,50,Axiom,Axiom,289,NULL
62,Gonza,Axiom,Prostějov,Olomoucký kraj,5.300000190734863,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",14,5.5,27,Axiom,Axiom,289,NULL
63,Grand Bankster,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",17,7,Neuvedené,Axiom,Axiom,289,NULL
64,Griffin,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,India Pale Lager,11,4.5,25,Axiom,Axiom,289,NULL
65,Hejlejl,Axiom,Prostějov,Olomoucký kraj,2.799999952316284,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5.5,27,Axiom,Axiom,289,NULL
66,Hop Grenade: Vic Secret,Axiom,Prostějov,Olomoucký kraj,6.800000190734863,Neuvedené,single hop,India Pale Ale ( Ale ),15,6.199999809265137,Neuvedené,Axiom,Axiom,289,NULL
67,Hop Charger,Axiom,Prostějov,Olomoucký kraj,7.5,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",18,8,65,Axiom,Axiom,289,NULL
68,Hopscade,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",15,6,25,Axiom,Axiom,289,NULL
69,Juicy Break Pineapple,Axiom,Prostějov,Olomoucký kraj,6,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",16,7,35,Axiom,Axiom,289,NULL
70,Low Flow Grapefruit,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,"grapefruitové pivo ( ovocné pivo , ochucené pivo )","New England IPA ( India Pale Ale , Ale )",13,5.5,20,Axiom,Axiom,289,NULL
71,Moravian Meadow,Axiom,Prostějov,Olomoucký kraj,7.300000190734863,Neuvedené,"medové pivo ( ochucené pivo ) hroznové pivo ( ovocné pivo , ochucené pivo )","Bragawd / Braggot ( Traditional Ale , Ale )",15,8,Neuvedené,Axiom,Axiom,289,NULL
72,Negroni Ale,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,bylinné pivo ( ochucené pivo ),Pale Ale ( Ale ),12,5,Neuvedené,Axiom,Axiom,289,NULL
73,Parabolica,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,bylinné pivo ( ochucené pivo ),"Red IPA ( India Pale Ale , Ale )",16,6.199999809265137,40,Axiom,Axiom,289,NULL
74,Pilot,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,světlý ležák,12,4.400000095367432,30,Axiom,Axiom,289,NULL
75,Pumpkin Slayer,Axiom,Prostějov,Olomoucký kraj,6,halloweenské / dušičkové,dýňové pivo ( ochucené pivo ) kořeněné pivo ( ochucené pivo ),Pumpkin Ale ( Ale ),15,6,Neuvedené,Axiom,Axiom,289,NULL
76,Queen Vaccine,Axiom,Prostějov,Olomoucký kraj,8,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",18,7.400000095367432,50,Axiom,Axiom,289,NULL
77,Ray of Hop,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",14,6,25,Axiom,Axiom,289,NULL
78,Sour Station Black Currant,Axiom,Prostějov,Olomoucký kraj,7.5,Neuvedené,"černorybízové pivo ( ovocné pivo , ochucené pivo )",Berliner Weisse,10,4.5,12,Axiom,Axiom,289,NULL
79,Sour Station Sea Buckthorn,Axiom,Prostějov,Olomoucký kraj,8,Neuvedené,rakytníkové pivo ( ochucené pivo ),Berliner Weisse,10,4.5,12,Axiom,Axiom,289,NULL
80,Summer Boogie Session IPA,Axiom,Prostějov,Olomoucký kraj,6.5,letní,Neuvedené,"Session IPA ( India Pale Ale , Ale )",9,3,Neuvedené,Axiom,Axiom,289,NULL
81,Sunset Sari,Axiom,Prostějov,Olomoucký kraj,6.800000190734863,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo )","New England IPA ( India Pale Ale , Ale )",14,6.5,Neuvedené,Axiom,Axiom,289,NULL
82,The UnderKveiker,Axiom,Prostějov,Olomoucký kraj,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),17,7,Neuvedené,Axiom,Axiom,289,NULL
83,Universum Aztec,Axiom,Prostějov,Olomoucký kraj,7.300000190734863,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),31,14,70,Axiom,Axiom,289,NULL
84,Vibe Check,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",24,10,25,Axiom,Axiom,289,NULL
85,American Ale,Bad Boy / Pacovský pivovar Na Mýtince,Říčany,Středočeský kraj,4,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5.199999809265137,Neuvedené,Bad Boy / Pacovský pivovar Na Mýtince,Bad Boy / Pacovský pivovar Na Mýtince,546,NULL
86,American IPA,Bad Boy / Pacovský pivovar Na Mýtince,Říčany,Středočeský kraj,5,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",15,6.800000190734863,Neuvedené,Bad Boy / Pacovský pivovar Na Mýtince,Bad Boy / Pacovský pivovar Na Mýtince,546,NULL
87,Grumpy & Smiley,Bad Flash,Praha,Hlavní město Praha,6.5,Neuvedené,kořeněné pivo ( ochucené pivo ),Baltic Porter ( Porter ),20,9.5,Neuvedené,Bad Flash,Bad Flash Brouwerij de Molen,431,NULL
88,Grumpy & Smiley Wood Aged Absinth,Bad Flash,Praha,Hlavní město Praha,7,Neuvedené,oak chips aged,Baltic Porter ( Porter ),20,9.699999809265137,Neuvedené,Bad Flash,Bad Flash Brouwerij de Molen,431,NULL
89,Grumpy & Smiley Wood Aged Lagavulin,Bad Flash,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,oak chips aged,Baltic Porter ( Porter ),20,9.699999809265137,Neuvedené,Bad Flash,Bad Flash Brouwerij de Molen,431,NULL
90,Anniversary New England IPA,Bad Flash / Zhůřák,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",14,6.5,Neuvedené,Bad Flash / Zhůřák,Bad Flash Zhůřák,431,426
91,Black List,Bad Flash,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",16,6.800000190734863,Neuvedené,Bad Flash,Bad Flash,431,NULL
