id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
3614,Střízlík,Mazaný Lišák,Žďár nad Sázavou,Vysočina,5,Neuvedené,Neuvedené,světlý ležák světlé pšeničné,11,4.199999809265137,30,Mazaný Lišák,Mazaný Lišák,701,NULL
3615,Vermont,Mazaný Lišák,Žďár nad Sázavou,Vysočina,2.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Session IPA ( India Pale Ale , Ale )",12,4.900000095367432,50,Mazaný Lišák,Mazaný Lišák,701,NULL
3616,Winston,Mazaný Lišák,Žďár nad Sázavou,Vysočina,4,Neuvedené,Neuvedené,"Extra Special Bitter ( English Pale Ale , Pale Ale , Ale )",13,5.300000190734863,35,Mazaný Lišák,Mazaný Lišák,701,NULL
3617,Zrzek,Mazaný Lišák,Žďár nad Sázavou,Vysočina,4,Neuvedené,Neuvedené,Amber Ale ( Ale ),13,5.199999809265137,35,Mazaný Lišák,Mazaný Lišák,701,NULL
3618,Medlešický ležák černý 12°,Medlešice,Medlešice,Pardubický kraj,4.800000190734863,Neuvedené,Neuvedené,tmavý ležák,12,NULL,Neuvedené,Medlešice,Medlešice,352,NULL
3619,Medlešický ležák světlý 12°,Medlešice,Medlešice,Pardubický kraj,5.300000190734863,Neuvedené,Neuvedené,světlý ležák,12,NULL,Neuvedené,Medlešice,Medlešice,352,NULL
3620,(Kujeba) Pale Ale,Mejto,Vysoké Mýto,Pardubický kraj,3.799999952316284,Neuvedené,Neuvedené,Pale Ale ( Ale ),12,5.300000190734863,Neuvedené,Mejto,Mejto,353,NULL
3621,(Kujeba) Polotmavá 11,Mejto,Vysoké Mýto,Pardubický kraj,2.799999952316284,Neuvedené,Neuvedené,polotmavý ležák,11,NULL,Neuvedené,Mejto,Mejto,353,NULL
3622,(Kujeba) Pšeničné pivo,Mejto,Vysoké Mýto,Pardubický kraj,3.799999952316284,Neuvedené,Neuvedené,German Hefeweizen,11,4.800000190734863,Neuvedené,Mejto,Mejto,353,NULL
3623,Melantrich ležák,Permon,Sokolov,Karlovarský kraj,3.5,Neuvedené,Neuvedené,světlý ležák,12,4.5,38,Permon,Permon,152,NULL
3624,Melantrich ležák NZ,Permon,Sokolov,Karlovarský kraj,4,Neuvedené,Neuvedené,světlý ležák,12,4.5,26,Permon,Permon,152,NULL
3625,Hanácké Mechoš 11%,Pivovárek Melichárek,Horka nad Moravou,Olomoucký kraj,3,Neuvedené,Neuvedené,světlý ležák,11,NULL,Neuvedené,Pivovárek Melichárek,Pivovárek Melichárek,321,NULL
3626,Mechoška 13%,Pivovárek Melichárek,Horka nad Moravou,Olomoucký kraj,3,Neuvedené,Neuvedené,polotmavý speciál,13,NULL,Neuvedené,Pivovárek Melichárek,Pivovárek Melichárek,321,NULL
3627,Close Your Eyes and You'll See,Métaphore,Praha,Hlavní město Praha,8.5,Neuvedené,oak barrel-aged,Wild Ale ( Ale ),NULL,6.5,Neuvedené,Métaphore,Métaphore,476,NULL
3628,Distant Memories,Métaphore,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,"višňové pivo ( ovocné pivo , ochucené pivo ) oak barrel-aged",Sour Ale,NULL,5.5,Neuvedené,Métaphore,Métaphore,476,NULL
3629,Orange,Métaphore,Praha,Hlavní město Praha,7.5,Neuvedené,"hroznové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,NULL,9,Neuvedené,Métaphore,Métaphore,476,NULL
3630,Peach Rust,Métaphore,Praha,Hlavní město Praha,8.5,Neuvedené,"broskvové pivo ( ovocné pivo , ochucené pivo ) oak barrel-aged",Wild Ale ( Ale ),NULL,5.5,Neuvedené,Métaphore,Métaphore,476,NULL
3631,Those Who Dance,Métaphore,Praha,Hlavní město Praha,6.800000190734863,Neuvedené,Bio pivo,Pilsner,NULL,5.300000190734863,Neuvedené,Métaphore,Métaphore,476,NULL
3632,Čáryfuk,U bojiště 1866 Miletín,Miletín,Královéhradecký kraj,6,Neuvedené,Neuvedené,tmavý speciál,13,NULL,Neuvedené,U bojiště 1866 Miletín,U bojiště 1866 Miletín,199,NULL
3633,Pytlák,U bojiště 1866 Miletín,Miletín,Královéhradecký kraj,5.800000190734863,Neuvedené,Neuvedené,světlý ležák,12,NULL,Neuvedené,U bojiště 1866 Miletín,U bojiště 1866 Miletín,199,NULL
3634,Dešťovka,Millénium,Ústí nad Labem,Ústecký kraj,6,Neuvedené,Neuvedené,světlé výčepní,10,NULL,Neuvedené,Millénium,Millénium,657,NULL
3635,Miláček,Millénium,Ústí nad Labem,Ústecký kraj,3.299999952316284,Neuvedené,Neuvedené,světlý ležák,12,NULL,Neuvedené,Millénium,Millénium,657,NULL
3636,Alt,MMX,Lety u Dobřichovic,Středočeský kraj,5,Neuvedené,Neuvedené,Altbier,12,5,32,MMX,MMX,588,NULL
3637,Amber Ale,MMX,Lety u Dobřichovic,Středočeský kraj,5.5,Neuvedené,Neuvedené,Amber Ale ( Ale ),13,5.099999904632568,39,MMX,MMX,588,NULL
3638,American Pale Ale 12°,MMX,Lety u Dobřichovic,Středočeský kraj,6,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,4.800000190734863,38,MMX,MMX,588,NULL
3639,American Pale Ale 13°,MMX,Lety u Dobřichovic,Středočeský kraj,2.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5.599999904632568,45,MMX,MMX,588,NULL
3640,Bitter Ale,MMX,Lety u Dobřichovic,Středočeský kraj,4.5,Neuvedené,Neuvedené,"Bitter ( English Pale Ale , Pale Ale , Ale )",13,NULL,Neuvedené,MMX,MMX,588,NULL
3641,desítka,MMX,Lety u Dobřichovic,Středočeský kraj,4.800000190734863,Neuvedené,Neuvedené,světlé výčepní,10,4.400000095367432,28,MMX,MMX,588,NULL
3642,EPA,MMX,Lety u Dobřichovic,Středočeský kraj,5,Neuvedené,Neuvedené,"English Pale Ale ( Pale Ale , Ale )",13,NULL,Neuvedené,MMX,MMX,588,NULL
3643,Hopfweizen,MMX,Lety u Dobřichovic,Středočeský kraj,6,Neuvedené,Neuvedené,světlé pšeničné German Hefeweizen,12,5.199999809265137,34,MMX,MMX,588,NULL
3644,IPA 13°,MMX,Lety u Dobřichovic,Středočeský kraj,7,Neuvedené,Neuvedené,India Pale Ale ( Ale ),13,NULL,Neuvedené,MMX,MMX,588,NULL
3645,PNA,MMX,Lety u Dobřichovic,Středočeský kraj,4,Neuvedené,Neuvedené,Pale Ale ( Ale ),13,NULL,Neuvedené,MMX,MMX,588,NULL
3646,pšeničné,MMX,Lety u Dobřichovic,Středočeský kraj,4.699999809265137,Neuvedené,Neuvedené,German Hefeweizen světlé pšeničné,12,5.199999809265137,10,MMX,MMX,588,NULL
3647,pšeničné pivo s vyšší hořkostí,MMX,Lety u Dobřichovic,Středočeský kraj,5,Neuvedené,Neuvedené,German Hefeweizen,12,4.900000095367432,25,MMX,MMX,588,NULL
3648,Red Ale,MMX,Lety u Dobřichovic,Středočeský kraj,5.5,Neuvedené,Neuvedené,Irish Red Ale ( Ale ),13,5.099999904632568,39,MMX,MMX,588,NULL
3649,Stout,MMX,Lety u Dobřichovic,Středočeský kraj,6.5,Neuvedené,Neuvedené,Dry Stout ( Stout ),12,5.199999809265137,45,MMX,MMX,588,NULL
3650,Summer APA,MMX,Lety u Dobřichovic,Středočeský kraj,2.5,letní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",11,4.699999809265137,45,MMX,MMX,588,NULL
3651,světlý ležák 11°,MMX,Lety u Dobřichovic,Středočeský kraj,3,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,11,NULL,Neuvedené,MMX,MMX,588,NULL
3652,světlý ležák 12°,MMX,Lety u Dobřichovic,Středočeský kraj,5,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),12,NULL,Neuvedené,MMX,MMX,588,NULL
3653,Velikonoční Bitter,MMX,Lety u Dobřichovic,Středočeský kraj,3.5,velikonoční,Neuvedené,"Bitter ( English Pale Ale , Pale Ale , Ale )",13,NULL,Neuvedené,MMX,MMX,588,NULL
3654,Dobřanská desítka,Modrá Hvězda,Dobřany,Plzeňský kraj,6,Neuvedené,Neuvedené,světlé výčepní,10,4,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3655,Dobřanská Hvězda,Modrá Hvězda,Dobřany,Plzeňský kraj,5.5,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,12,4.900000095367432,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3656,Dobřanská vánoční Black IPA,Modrá Hvězda,Dobřany,Plzeňský kraj,6.5,vánoční,kořeněné pivo ( ochucené pivo ),"Black IPA ( India Pale Ale , Ale )",15,NULL,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3657,Dobřanský Dragoun,Modrá Hvězda,Dobřany,Plzeňský kraj,6.5,Neuvedené,Neuvedené,polotmavý speciál,16,6.800000190734863,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3658,Dobřanský Hospodář,Modrá Hvězda,Dobřany,Plzeňský kraj,5.300000190734863,Neuvedené,Neuvedené,German Hefeweizen světlé pšeničné,11,4.199999809265137,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3659,Dobřanský sekáč,Modrá Hvězda,Dobřany,Plzeňský kraj,6.199999809265137,Neuvedené,Neuvedené,světlý speciál,17,7,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3660,Dobřanský Svatý Vít,Modrá Hvězda,Dobřany,Plzeňský kraj,8.5,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",23,10,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3661,Dobřanský tmavý speciál,Modrá Hvězda,Dobřany,Plzeňský kraj,6.300000190734863,Neuvedené,Neuvedené,tmavý speciál,14,5.400000095367432,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3662,DPH - Dobřanské Pivo Hořké,Modrá Hvězda,Dobřany,Plzeňský kraj,7.300000190734863,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,6,Neuvedené,Modrá Hvězda,Modrá Hvězda,395,NULL
3663,Černý Brejle (Královna),Modrá Vosa,Řevnice,Středočeský kraj,8.800000190734863,domovarnictví,Neuvedené,Russian Imperial Stout ( Stout ),26,14,Neuvedené,Modrá Vosa,Modrá Vosa,589,NULL
3664,nealko světlé Svatý Kryštof,Modrý abbé,Klatovy,Plzeňský kraj,6.300000190734863,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),NULL,0.5,Neuvedené,Modrý abbé,Modrý abbé,396,NULL
3665,Ale 14%,Monopol,Teplice,Ústecký kraj,5.300000190734863,Neuvedené,Neuvedené,Pale Ale ( Ale ),14,6,Neuvedené,Monopol,Monopol,661,NULL
3666,jarní IPA,Monopol,Teplice,Ústecký kraj,6.300000190734863,jarní,Neuvedené,India Pale Ale ( Ale ),11,4.699999809265137,Neuvedené,Monopol,Monopol,661,NULL
3667,Karlík 11% polotmavé,Monopol,Teplice,Ústecký kraj,7,Neuvedené,Neuvedené,polotmavý ležák,11,4.699999809265137,Neuvedené,Monopol,Monopol,661,NULL
3668,Podzimní vídeňský ležák,Monopol,Teplice,Ústecký kraj,5.5,podzimní,Neuvedené,Vienna Lager polotmavý ležák,12,5.199999809265137,Neuvedené,Monopol,Monopol,661,NULL
3669,Pšenice,Monopol,Teplice,Ústecký kraj,6.5,Neuvedené,Neuvedené,German Hefeweizen,11,4.400000095367432,Neuvedené,Monopol,Monopol,661,NULL
3670,světlý ležák 12°,Monopol,Teplice,Ústecký kraj,5.800000190734863,Neuvedené,Neuvedené,světlý ležák,12,5.199999809265137,Neuvedené,Monopol,Monopol,661,NULL
3671,Višeň 11%,Monopol,Teplice,Ústecký kraj,6,Neuvedené,"višňové pivo ( ovocné pivo , ochucené pivo )",polotmavý ležák,11,4.699999809265137,Neuvedené,Monopol,Monopol,661,NULL
3672,12° světlá nefiltrovaná,Morava,Frýdek - Místek,Moravskoslezský kraj,6,Neuvedené,Neuvedené,světlý ležák,12,4.900000095367432,Neuvedené,Morava,Morava,256,NULL
3673,APA 13%,Morava,Frýdek - Místek,Moravskoslezský kraj,5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5.199999809265137,35,Morava,Morava,256,NULL
3674,Doppelcock,Moravia,Brno,Jihomoravský kraj,7,Neuvedené,medové pivo ( ochucené pivo ),Doppelbock ( Bock ),19,8.199999809265137,Neuvedené,Moravia,Moravia Kočovný Pivovar Hellstork,120,NULL
3675,10° Jošt,Moravia,Brno,Jihomoravský kraj,6.199999809265137,Neuvedené,Neuvedené,světlé výčepní,10,4,27,Moravia,Moravia,120,NULL
3676,12° Petrov,Moravia,Brno,Jihomoravský kraj,5.199999809265137,Neuvedené,Neuvedené,světlý ležák,12,5,46,Moravia,Moravia,120,NULL
3677,Akciový ležák 12°,Moravia,Brno,Jihomoravský kraj,3.299999952316284,Neuvedené,Neuvedené,světlý ležák,12,5,29,Moravia,Moravia,120,NULL
3678,Medlánecký kluzák 11°,Moravia,Brno,Jihomoravský kraj,7,Neuvedené,Neuvedené,světlý ležák,11,4.699999809265137,29,Moravia,Moravia,120,NULL
3679,Mendel Bier 12°,Moravia,Brno,Jihomoravský kraj,6.300000190734863,Neuvedené,Neuvedené,světlý ležák,12,5,30,Moravia,Moravia,120,NULL
3680,Punkevní,Moravia,Brno,Jihomoravský kraj,5.300000190734863,Neuvedené,Neuvedené,světlý ležák,11,4.699999809265137,25,Moravia,Moravia,120,NULL
3681,Rathaus Bier 11,Moravia,Brno,Jihomoravský kraj,5.599999904632568,Neuvedené,Neuvedené,světlý ležák,11,4.699999809265137,39,Moravia,Moravia,120,NULL
3682,Sv. Martin,Moravia,Brno,Jihomoravský kraj,6,svatomartinské,Neuvedené,světlý ležák,12,5,53,Moravia,Moravia,120,NULL
3683,Sv. Václav,Moravia,Brno,Jihomoravský kraj,5,svatováclavské,Neuvedené,světlý speciál,13,5.699999809265137,37,Moravia,Moravia,120,NULL
3684,Sváteční světlý speciál,Moravia,Brno,Jihomoravský kraj,5,vánoční,wet hop,světlý speciál,13,5.699999809265137,29,Moravia,Moravia,120,NULL
3685,Zlato Moravy 14°,Moravia,Brno,Jihomoravský kraj,2,Neuvedené,Neuvedené,světlý speciál,14,6,28,Moravia,Moravia,120,NULL
3686,Divočák,Moravský Žižkov,Moravský Žižkov,Jihomoravský kraj,4.5,Neuvedené,Neuvedené,světlé výčepní,10,4,31,Moravský Žižkov,Moravský Žižkov,72,NULL
3687,Mustang,Moravský Žižkov,Moravský Žižkov,Jihomoravský kraj,2.5,Neuvedené,Neuvedené,světlý speciál India Pale Lager,13,5.300000190734863,Neuvedené,Moravský Žižkov,Moravský Žižkov,72,NULL
3688,Nymfa,Moravský Žižkov,Moravský Žižkov,Jihomoravský kraj,4.5,Neuvedené,Neuvedené,světlý speciál,14,NULL,Neuvedené,Moravský Žižkov,Moravský Žižkov,72,NULL
3689,Vídeňský ležák,Moravský Žižkov,Moravský Žižkov,Jihomoravský kraj,5.5,Neuvedené,Neuvedené,Vienna Lager světlý ležák,12,4.800000190734863,39,Moravský Žižkov,Moravský Žižkov,72,NULL
3690,Žižkovský ležák,Moravský Žižkov,Moravský Žižkov,Jihomoravský kraj,6,Neuvedené,Neuvedené,světlý ležák,11,4.400000095367432,35,Moravský Žižkov,Moravský Žižkov,72,NULL
3691,√25 Výroční speciál,Mordýř,Dolní Ředice,Pardubický kraj,2,Neuvedené,Neuvedené,polotmavý speciál,15,5.900000095367432,Neuvedené,Mordýř,Mordýř,358,NULL
3692,Amber IPA,Mordýř,Dolní Ředice,Pardubický kraj,6.300000190734863,Neuvedené,nakuřované pivo,"Red IPA ( India Pale Ale , Ale )",14,6,Neuvedené,Mordýř,Mordýř,358,NULL
3693,Blizard,Mordýř,Dolní Ředice,Pardubický kraj,5.300000190734863,zimní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,5.199999809265137,38,Mordýř,Mordýř,358,NULL
3694,Double IPA,Mordýř,Dolní Ředice,Pardubický kraj,7.199999809265137,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",17,7.199999809265137,Neuvedené,Mordýř,Mordýř,358,NULL
3695,Ejlík Summer Ale,Mordýř,Dolní Ředice,Pardubický kraj,3.799999952316284,letní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,NULL,Neuvedené,Mordýř,Mordýř,358,NULL
3696,Elegán,Mordýř,Dolní Ředice,Pardubický kraj,4.5,Neuvedené,single hop,India Pale Lager,13,5.400000095367432,Neuvedené,Mordýř,Mordýř,358,NULL
3697,Emil,Mordýř,Dolní Ředice,Pardubický kraj,3,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,6.300000190734863,Neuvedené,Mordýř,Mordýř,358,NULL
3698,Gilotina,Mordýř,Dolní Ředice,Pardubický kraj,5.800000190734863,Neuvedené,ochucené pivo,"Belgian Strong Ale ( Belgian Ale , Ale )",19,8,Neuvedené,Mordýř,Mordýř,358,NULL
3699,Granátový ležák,Mordýř,Dolní Ředice,Pardubický kraj,5,Neuvedené,Neuvedené,polotmavý ležák,12,5,Neuvedené,Mordýř,Mordýř,358,NULL
3700,Heart Attack IPA,Mordýř,Dolní Ředice,Pardubický kraj,5.800000190734863,Neuvedené,Neuvedené,India Pale Ale ( Ale ),16,6.5,Neuvedené,Mordýř,Mordýř,358,NULL
3701,India Black Ale,Mordýř,Dolní Ředice,Pardubický kraj,6.800000190734863,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",14,6,Neuvedené,Mordýř,Mordýř,358,NULL
3702,Kurtizána,Mordýř,Dolní Ředice,Pardubický kraj,4.300000190734863,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",13,5.5,45,Mordýř,Mordýř,358,NULL
3703,Lazy Cat,Mordýř,Dolní Ředice,Pardubický kraj,4.5,Neuvedené,Neuvedené,"Rye IPA ( India Pale Ale , Ale )",14,5.800000190734863,Neuvedené,Mordýř,Mordýř,358,NULL
3704,Líný kominík,Mordýř,Dolní Ředice,Pardubický kraj,5.300000190734863,zimní,nakuřované pivo,tmavý speciál,14,5.800000190734863,Neuvedené,Mordýř,Mordýř,358,NULL
3705,Mordýřka,Mordýř,Dolní Ředice,Pardubický kraj,5.5,Neuvedené,Neuvedené,světlý speciál,13,5.5,Neuvedené,Mordýř,Mordýř,358,NULL
3706,Pivo Ale Kulový,Mordýř,Dolní Ředice,Pardubický kraj,3.5,Neuvedené,"koriandrové pivo ( kořeněné pivo , ochucené pivo )","Belgian IPA ( India Pale Ale , Ale )",15,6.5,Neuvedené,Mordýř,Mordýř,358,NULL
3707,Red Eagle APA,Mordýř,Dolní Ředice,Pardubický kraj,5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,5.400000095367432,Neuvedené,Mordýř,Mordýř,358,NULL
3708,Sametová desítka,Mordýř,Dolní Ředice,Pardubický kraj,5,Neuvedené,Neuvedené,polotmavé výčepní,10,3.9000000953674316,Neuvedené,Mordýř,Mordýř,358,NULL
3709,Smoked Amber Ale,Mordýř,Dolní Ředice,Pardubický kraj,6.800000190734863,Neuvedené,nakuřované pivo,"American Amber Ale ( Amber Ale , Ale )",13,5.5,Neuvedené,Mordýř,Mordýř,358,NULL
3710,Summer Ale,Mordýř,Dolní Ředice,Pardubický kraj,6.5,letní,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",11,4.300000190734863,35,Mordýř,Mordýř,358,NULL
3711,Summer Ale Dry Hop Ella,Mordýř,Dolní Ředice,Pardubický kraj,5,Neuvedené,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",11,NULL,40,Mordýř,Mordýř,358,NULL
3712,Svatováclavská 12°,Mordýř,Dolní Ředice,Pardubický kraj,5,svatováclavské,Neuvedené,světlý speciál,12,NULL,Neuvedené,Mordýř,Mordýř,358,NULL
3713,světlá 14 mnichovského typu,Mordýř,Dolní Ředice,Pardubický kraj,5.5,Neuvedené,Neuvedené,Festbier Hell světlý speciál,14,5.800000190734863,Neuvedené,Mordýř,Mordýř,358,NULL
3714,Světlá IPA 14,Mordýř,Dolní Ředice,Pardubický kraj,6.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),14,5.5,Neuvedené,Mordýř,Mordýř,358,NULL
3715,světlý ležák,Mordýř,Dolní Ředice,Pardubický kraj,5,Neuvedené,Neuvedené,světlý ležák,11,NULL,Neuvedené,Mordýř,Mordýř,358,NULL
3716,Velikonoční speciál,Mordýř,Dolní Ředice,Pardubický kraj,4,velikonoční,Neuvedené,světlý speciál,14,5.5,Neuvedené,Mordýř,Mordýř,358,NULL
3717,Vídeňský Speciál,Mordýř,Dolní Ředice,Pardubický kraj,6.5,Neuvedené,Neuvedené,Vienna Lager polotmavý speciál,13,5.5,Neuvedené,Mordýř,Mordýř,358,NULL
3718,Zázvorový ležák,Mordýř,Dolní Ředice,Pardubický kraj,5,Neuvedené,zázvorové pivo ( ochucené pivo ),světlý ležák,11,5,Neuvedené,Mordýř,Mordýř,358,NULL
3719,Zorro Sweet Stout,Mordýř,Dolní Ředice,Pardubický kraj,8,Neuvedené,Neuvedené,Sweet Stout / Milk Stout ( Stout ),15,6,Neuvedené,Mordýř,Mordýř,358,NULL
3720,Žitná IPA,Mordýř,Dolní Ředice,Pardubický kraj,6.5,Neuvedené,Neuvedené,"Rye IPA ( India Pale Ale , Ale )",13,5.5,Neuvedené,Mordýř,Mordýř,358,NULL
3721,Maisel polotmavá 11°,Hostinský pivovar Moritz,Olomouc,Olomoucký kraj,6.300000190734863,Neuvedené,Neuvedené,polotmavý ležák,11,4.5,Neuvedené,Hostinský pivovar Moritz,Hostinský pivovar Moritz,298,NULL
3722,světlá 10°,Hostinský pivovar Moritz,Olomouc,Olomoucký kraj,6.300000190734863,Neuvedené,Neuvedené,světlé výčepní Bohemian Pilsner ( Pilsner ),10,3.9000000953674316,Neuvedené,Hostinský pivovar Moritz,Hostinský pivovar Moritz,298,NULL
3723,světlá 11°,Hostinský pivovar Moritz,Olomouc,Olomoucký kraj,5.5,Neuvedené,Neuvedené,světlý ležák,11,4.400000095367432,Neuvedené,Hostinský pivovar Moritz,Hostinský pivovar Moritz,298,NULL
3724,světlá 12°,Hostinský pivovar Moritz,Olomouc,Olomoucký kraj,6.900000095367432,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,12,5,Neuvedené,Hostinský pivovar Moritz,Hostinský pivovar Moritz,298,NULL
3725,10 Desítka Pale Ale,Minipivovar Most,Most,Ústecký kraj,7,Neuvedené,Neuvedené,Golden Ale ( Ale ),10,3.9000000953674316,45,Minipivovar Most,Minipivovar Most,659,NULL
3726,11 Dvanáctka polotmavá,Minipivovar Most,Most,Ústecký kraj,7,Neuvedené,Neuvedené,polotmavý ležák,12,5,35,Minipivovar Most,Minipivovar Most,659,NULL
3727,11 Jedenáctka světlá,Minipivovar Most,Most,Ústecký kraj,7,Neuvedené,Neuvedené,světlý ležák,11,4.599999904632568,33,Minipivovar Most,Minipivovar Most,659,NULL
3728,14 Čtrnáctka IPA,Minipivovar Most,Most,Ústecký kraj,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),14,7,45,Minipivovar Most,Minipivovar Most,659,NULL
3729,Ale 12°,Mostecký Kahan,Most,Ústecký kraj,3,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3730,Amber Ale,Mostecký Kahan,Most,Ústecký kraj,5,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",13,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3731,Baník 10°,Mostecký Kahan,Most,Ústecký kraj,3,Neuvedené,Neuvedené,světlé výčepní,10,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3732,Černí andělé,Mostecký Kahan,Most,Ústecký kraj,3,Neuvedené,Neuvedené,tmavý ležák,12,5,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3733,IPA 15%,Mostecký Kahan,Most,Ústecký kraj,5.300000190734863,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3734,Letní Summer Ale 10°,Mostecký Kahan,Most,Ústecký kraj,5.5,letní,Neuvedené,Golden Ale ( Ale ),10,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3735,Magistr Edward Kelley světlý ležák 12°,Mostecký Kahan,Most,Ústecký kraj,4,Neuvedené,Neuvedené,světlý ležák,12,5,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3736,Mostecká 11°,Mostecký Kahan,Most,Ústecký kraj,4.5,Neuvedené,Neuvedené,světlý ležák,11,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3737,polotmavý ležák 12°,Mostecký Kahan,Most,Ústecký kraj,5.800000190734863,Neuvedené,Neuvedené,polotmavý ležák,12,4.800000190734863,23,Mostecký Kahan,Mostecký Kahan,662,NULL
3738,Pšeničné 11%,Mostecký Kahan,Most,Ústecký kraj,1,Neuvedené,Neuvedené,German Hefeweizen,11,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3739,Rauch,Mostecký Kahan,Most,Ústecký kraj,4.5,Neuvedené,nakuřované pivo,Dunkelweizen,14,NULL,Neuvedené,Mostecký Kahan,Mostecký Kahan,662,NULL
3740,American Fly,Moucha,Praha,Hlavní město Praha,2.5,Neuvedené,Neuvedené,světlý ležák,12,4.800000190734863,Neuvedené,Moucha,Moucha,478,NULL
3741,Branická Čtrnáctka,Moucha,Praha,Hlavní město Praha,2.5,Neuvedené,Neuvedené,polotmavý speciál,14,5.5,Neuvedené,Moucha,Moucha,478,NULL
3742,Česká Moucha 11,Moucha,Praha,Hlavní město Praha,2.5,Neuvedené,Neuvedené,světlý ležák,11,4.199999809265137,Neuvedené,Moucha,Moucha,478,NULL
3743,Česká moucha 12,Moucha,Praha,Hlavní město Praha,5,Neuvedené,Neuvedené,světlý ležák,12,4.5,Neuvedené,Moucha,Moucha,478,NULL
3744,Masařka,Moucha,Praha,Hlavní město Praha,1.5,Neuvedené,Neuvedené,polotmavý speciál,13,5.300000190734863,Neuvedené,Moucha,Moucha,478,NULL
3745,Muška pšeničný ležák,Moucha,Praha,Hlavní město Praha,3.5,Neuvedené,Neuvedené,světlý ležák světlé pšeničné,11,4,Neuvedené,Moucha,Moucha,478,NULL
3746,Mudrlant,Parník,Přerov,Olomoucký kraj,8,jednorázová várka,nakuřované pivo,tmavý speciál,13,6,44,Parník,Parník,319,NULL
3747,Muflon Albín Ale,Pivovar Kunratice,Praha,Hlavní město Praha,6.5,Neuvedené,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",9,3.799999952316284,Neuvedené,Pivovar Kunratice,Pivovar Kunratice,489,NULL
3748,Muflon Amore Mio,Pivovar Kunratice,Praha,Hlavní město Praha,5.5,Neuvedené,single hop,"American IPA ( India Pale Ale , Ale )",NULL,6.5,Neuvedené,Pivovar Kunratice,Pivovar Kunratice,489,NULL
3749,Muflon Bad Flash Bikini Ale,Pivovar Kunratice / Bad Flash,Praha,Hlavní město Praha,5,Neuvedené,Neuvedené,Pale Ale ( Ale ),11,4.5,35,Pivovar Kunratice / Bad Flash,Pivovar Kunratice Bad Flash,489,431
