pivovar_id,distinct_kategorie,pocet_kategorii,ale_styly,ale_pocet_stylov,lager_styly,lager_pocet_stylov,wheat_styly,wheat_pocet_stylov,non_alco_styly,non_alco_pocet_stylov,sour_styly,sour_pocet_stylov,special_styly,special_pocet_stylov,dark_styly,dark_pocet_stylov,celkova_diverzita
208,"ALE, DARK, LAGER, WHEAT",4,NULL,0,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,stout,1,4
210,ALE,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
211,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
212,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
214,"LAGER, SPECIAL",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
215,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
216,"DARK, LAGER",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
217,ALE,1,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
218,"ALE, LAGER",2,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
219,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
220,"DARK, LAGER, NON-ALCO, SPECIAL",4,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
221,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
222,"ALE, DARK, LAGER, NON-ALCO, SPECIAL, WHEAT",6,NULL,0,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,6
223,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
224,ALE,1,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
225,"ALE, DARK, LAGER, SOUR, SPECIAL, WHEAT",6,"american pale ale, english pale ale, ipa",3,NULL,0,hefeweizen,1,NULL,0,"berliner weisse, gose",2,NULL,0,stout,1,9
226,"ALE, DARK, LAGER, SOUR, SPECIAL, WHEAT",6,"altbier, american pale ale, belgian, ipa",4,marzen,1,"hefeweizen, oatmeal",2,NULL,0,NULL,0,NULL,0,"dunkel, stout",2,11
229,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"english pale ale, ipa",2,NULL,0,"hefeweizen, oatmeal",2,NULL,0,NULL,0,NULL,0,NULL,0,7
231,"DARK, LAGER",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
232,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
233,"ALE, SOUR",2,NULL,0,NULL,0,NULL,0,NULL,0,gose,1,NULL,0,NULL,0,2
234,"ALE, DARK, LAGER, SPECIAL",4,"amber, american pale ale, english pale ale, ipa",4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,7
235,"ALE, DARK, LAGER, SPECIAL",4,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
236,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
238,ALE,1,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
239,"DARK, LAGER, SPECIAL",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
240,"ALE, DARK, LAGER, NON-ALCO, SOUR",5,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,5
241,"ALE, LAGER, SPECIAL",3,belgian,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
243,"ALE, DARK, LAGER, WHEAT",4,"amber, american pale ale, belgian, ipa, saison",5,NULL,0,"hefeweizen, oatmeal",2,NULL,0,NULL,0,NULL,0,NULL,0,9
244,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
246,"ALE, DARK, LAGER, NON-ALCO, SPECIAL, WHEAT",6,"american pale ale, ipa",2,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,porter,1,7
248,"ALE, SOUR, WHEAT",3,"american pale ale, belgian, ipa, saison",4,NULL,0,oatmeal,1,NULL,0,gose,1,NULL,0,NULL,0,6
251,"ALE, LAGER, SPECIAL",3,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
252,"LAGER, SPECIAL",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
253,"LAGER, SPECIAL",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
254,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
255,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
256,"ALE, LAGER",2,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
258,"ALE, LAGER, SOUR",3,"american pale ale, belgian, ipa",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,5
259,"ALE, LAGER, SPECIAL",3,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
260,"ALE, DARK, LAGER, SPECIAL",4,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,4
262,"LAGER, SPECIAL",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
267,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"american pale ale, ipa",2,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,porter,1,6
268,"DARK, LAGER",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
269,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
271,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
272,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
273,"ALE, LAGER, NON-ALCO, SPECIAL",4,ipa,1,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
274,"ALE, LAGER, SPECIAL",3,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
275,"ALE, LAGER, SPECIAL",3,"amber, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
277,"ALE, LAGER, SPECIAL",3,amber,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
282,"DARK, LAGER, SPECIAL",3,NULL,0,marzen,1,NULL,0,NULL,0,NULL,0,NULL,0,bock,1,3
283,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
284,"ALE, DARK, LAGER, WHEAT",4,american pale ale,1,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,4
285,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
286,"ALE, DARK, LAGER",3,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
289,"ALE, DARK, LAGER, SOUR, SPECIAL, WHEAT",6,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,berliner weisse,1,"barleywine, bragawd, pumpkin",3,stout,1,9
290,ALE,1,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
291,"ALE, DARK, LAGER, WHEAT",4,"amber, american pale ale, ipa",3,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,bock,1,6
292,"ALE, DARK, LAGER, WHEAT",4,ipa,1,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,4
295,ALE,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
296,"ALE, LAGER, SOUR, SPECIAL",4,"american pale ale, ipa, saison",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,6
297,"ALE, DARK, LAGER, NON-ALCO, SPECIAL",5,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,5
298,LAGER,1,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
299,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, american pale ale, belgian, english pale ale, ipa",5,schwarzbier,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,"dunkel, porter, stout",3,11
301,"ALE, DARK, LAGER, SPECIAL",4,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
302,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
307,"DARK, LAGER, SPECIAL, WHEAT",4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
308,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
309,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,NULL,0,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,5
310,"ALE, DARK, LAGER, NON-ALCO, SPECIAL, WHEAT",6,amber,1,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,6
312,"ALE, LAGER, WHEAT",3,NULL,0,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,3
313,"ALE, DARK, LAGER, SPECIAL",4,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,4
314,"LAGER, WHEAT",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
316,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
317,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
319,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, belgian",2,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,dunkel,1,6
321,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
323,ALE,1,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
324,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
325,ALE,1,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
326,"DARK, LAGER, SPECIAL, WHEAT",4,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
327,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
329,"ALE, DARK, LAGER, SPECIAL",4,"amber, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,5
331,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
333,"DARK, LAGER, SPECIAL, WHEAT",4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
334,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
335,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
336,ALE,1,"amber, american pale ale",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
338,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
339,"LAGER, NON-ALCO, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
340,ALE,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
342,"ALE, DARK, LAGER",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,3
343,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
345,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, american pale ale, ipa",3,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,stout,1,7
346,ALE,1,amber,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
348,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
349,"ALE, DARK, LAGER, SPECIAL",4,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,5
350,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,altbier,1,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,stout,1,5
352,"DARK, LAGER",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
353,"ALE, LAGER, WHEAT",3,NULL,0,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,3
356,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,NULL,0,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,"dunkel, stout",2,6
358,"ALE, DARK, LAGER, SPECIAL",4,"amber, american pale ale, belgian, ipa",4,festbier,1,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,7
360,"ALE, DARK, LAGER, NON-ALCO, SPECIAL",5,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,5
361,ALE,1,"amber, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
362,"DARK, LAGER, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
363,"LAGER, SPECIAL",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
364,"ALE, DARK, LAGER, SPECIAL",4,"amber, american pale ale",2,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,5
367,"ALE, LAGER",2,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
