id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
3407,Desítka (Kulová),Matuška,584,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
3408,Desítka Wet Hop,Matuška,584,NULL,jednorázová várka,wet hop,světlé výčepní,Lager,NULL,NULL,NULL
3409,Devítka,Matuška,584,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
3410,Double IPA,Matuška,584,NULL,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3411,Dřevo,Matuška,584,NULL,Neuvedené,oak chips aged,Doppelbock ( Bock ) polotmavý speciál,Lager,Special,NULL,"Bock, Polotmavý"
3412,Dvanáctka,Matuška,584,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
3413,Eldorado,Matuška,584,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3414,Ella,Matuška,584,NULL,Neuvedené,Neuvedené,Premium Lager,Lager,NULL,NULL,NULL
3415,ESB,Matuška,584,NULL,Neuvedené,Neuvedené,"Extra Special Bitter ( English Pale Ale , Pale Ale , Ale )",Ale,Special,NULL,English Pale Ale
3416,Fastball,Matuška,584,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3417,Golden Weizenbock,Matuška,584,NULL,velikonoční,Neuvedené,Heller Weizenbock ( Weizenbock ),Ale,Wheat,NULL,Wheat Ale
3418,Grape Ale 15°,Matuška,584,NULL,Neuvedené,"hroznové pivo ( ovocné pivo , ochucené pivo )",Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3419,Hellcat,Matuška,584,NULL,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3420,High Voltage,Matuška,584,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3421,Homerun (2020),Matuška,584,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
3422,Champion 2015,Matuška,584,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3423,Champion 2016,Matuška,584,NULL,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",Ale,NULL,NULL,Amber
3424,Charles,Matuška,584,NULL,Neuvedené,Neuvedené,"Premium Bitter ( English Pale Ale , Pale Ale , Ale )",Ale,NULL,NULL,English Pale Ale
3425,Jitrnice,Matuška,584,NULL,masopustní,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
3426,Jitrnice Czech Ale,Matuška,584,NULL,masopustní,Neuvedené,Amber Ale ( Ale ),Ale,NULL,NULL,Amber
3427,Knír,Matuška,584,NULL,jednorázová várka,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
3428,Kyselá Máňa,Matuška,584,NULL,Neuvedené,"malinové pivo ( ovocné pivo , ochucené pivo )",Gose,Ale,Sour,NULL,Gose
3429,Märzen,Matuška,584,NULL,Neuvedené,Neuvedené,Märzen,Lager,NULL,NULL,Märzen
3430,Medové,Matuška,584,NULL,Neuvedené,medové pivo ( ochucené pivo ),světlý speciál,Lager,Special,NULL,NULL
3431,Meruňka,Matuška,584,NULL,Neuvedené,"meruňkové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,Ale,Sour,NULL,NULL
3432,Mozaika 13°,Matuška,584,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3433,Nakouřená Jitrnice,Matuška,584,NULL,masopustní,nakuřované pivo,polotmavý speciál,Lager,Special,NULL,Polotmavý
3434,Námořník,Matuška,584,NULL,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
3435,New Broumy,Matuška,584,NULL,Neuvedené,Neuvedené,American Wheat ( Wheat Ale ),Ale,Wheat,NULL,Wheat Ale
3436,OP 1st Anniversary Ale,Matuška,584,NULL,jednorázová várka,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3437,OP 2nd Anniversary Ale,Matuška,584,NULL,jednorázová várka,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3438,OP 3rd Anniversary Ale,Matuška,584,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3439,OP Open Ale,Matuška,584,NULL,jednorázová várka,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3440,Osvoboditel 14%,Matuška,584,NULL,jednorázová várka,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3441,Osvoboditel 16%,Matuška,584,NULL,jednorázová várka,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3442,Piña Colada,Matuška,584,NULL,Neuvedené,"kokosové pivo ( ovocné pivo , ochucené pivo ) ananasové pivo ( ovocné pivo , ochucené pivo )",Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3443,Pomlázka (2024),Matuška,584,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
3444,pšeničné,Matuška,584,NULL,Neuvedené,Neuvedené,German Hefeweizen světlé pšeničné,Ale,Wheat,NULL,Hefeweizen
3445,pšeničné Galaxy,Matuška,584,NULL,jednorázová várka,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
3446,Ragbista,Matuška,584,NULL,Neuvedené,Neuvedené,Pilsner,Lager,NULL,NULL,Pilsner
3447,Raketa Sour,Matuška,584,NULL,Neuvedené,Neuvedené,Sour Ale India Pale Ale ( Ale ),Ale,Sour,NULL,IPA
3448,Raptor,Matuška,584,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3449,Raptor (Citra),Matuška,584,NULL,jednorázová várka,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3450,Raptor (Summit),Matuška,584,NULL,jednorázová várka,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3451,Robust Stout,Matuška,584,NULL,Neuvedené,Neuvedené,Stout,Ale,Dark,NULL,Stout
3452,Robust Stout (Oak Aged),Matuška,584,NULL,Neuvedené,oak chips aged,Foreign Extra Stout ( Stout ),Ale,Dark,NULL,Stout
3453,Rocky,Matuška,584,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3454,Saison (Oak Aged),Matuška,584,NULL,Neuvedené,oak chips aged,American Saison ( Saison ),Ale,NULL,NULL,Saison
3455,Saison 12,Matuška,584,NULL,Neuvedené,Neuvedené,Belgian Saison ( Saison ) Saison,Ale,NULL,NULL,"Belgian, Saison"
3456,"Saison 16,5°",Matuška,584,NULL,Neuvedené,Neuvedené,Saison,Ale,NULL,NULL,Saison
3457,Session Raketa,Matuška,584,NULL,Neuvedené,Neuvedené,"Session IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3458,Silvestrovský Raptor,Matuška,584,NULL,"silvestrovské / novoroční , jednorázová várka",Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3459,speciální pšeničné CC,Matuška,584,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
3460,speciální světlé 13%,Matuška,584,NULL,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý speciál,Lager,Special,NULL,Pilsner
3461,speciální tmavé 14%,Matuška,584,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
3462,speciální tmavé 14% Vanilla,Matuška,584,NULL,jednorázová várka,ochucené pivo,tmavý speciál,Lager,Dark,Special,NULL
3463,Stout,Matuška,584,NULL,Neuvedené,Neuvedené,Stout,Ale,Dark,NULL,Stout
3464,Stout s vanilkou,Matuška,584,NULL,Neuvedené,Neuvedené,Stout,Ale,Dark,NULL,Stout
3465,Summer Ale Citra Loral,Matuška,584,NULL,letní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3466,Summer Ale Citra Simcoe,Matuška,584,NULL,Neuvedené,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",Ale,NULL,NULL,Blond/Golden
3467,Summer Ale Citra Simcoe Columbus,Matuška,584,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3468,Summer Ale Equinox Citra,Matuška,584,NULL,Neuvedené,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",Ale,NULL,NULL,Blond/Golden
3469,Summer Ale Mosaic Motueka,Matuška,584,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3470,Sv. Václav,Matuška,584,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
3471,Svatomartinské pivo,Matuška,584,NULL,svatomartinské,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
3472,Svatý Tomáš,Matuška,584,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
3473,světlý ležák,Matuška,584,NULL,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
3474,Svoboda,Matuška,584,NULL,Neuvedené,Neuvedené,polotmavý speciál India Pale Lager,Lager,Special,NULL,"IPL, Polotmavý"
3475,Tonda,Matuška,584,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
3476,Tripel,Matuška,584,NULL,Neuvedené,"medové pivo ( ochucené pivo ) pomerančové pivo ( ovocné pivo , ochucené pivo ) bylinné pivo ( ochucené pivo )","Tripel ( Belgian Strong Ale , Belgian Ale , Ale )",Ale,NULL,NULL,Belgian
3477,Tropical Rocket,Matuška,584,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3478,Turbo Golden Rocket,Matuška,584,NULL,jednorázová várka,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3479,Turbo Raptor 2012,Matuška,584,NULL,jednorázová várka,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3480,Turbo Raptor 2015,Matuška,584,NULL,jednorázová várka,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3481,Uluwatu,Matuška,584,NULL,Neuvedené,Neuvedené,India Pale Lager světlé výčepní,Lager,NULL,NULL,IPL
3482,Vánoční,Matuška,584,NULL,vánoční,Neuvedené,Doppelbock ( Bock ),Lager,Dark,NULL,Bock
3483,Vánoční Ale / Extra IPA,Matuška,584,NULL,vánoční,Neuvedené,"Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3484,Vejmrda,Matuška,584,NULL,Neuvedené,"jablečné pivo ( ovocné pivo , ochucené pivo )",Gose,Ale,Sour,NULL,Gose
3485,velikonoční pšeničné,Matuška,584,NULL,"velikonoční , jednorázová várka",Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
3486,Veterán,Matuška,584,NULL,Neuvedené,Neuvedené,"Premium Bitter ( English Pale Ale , Pale Ale , Ale )",Ale,NULL,NULL,English Pale Ale
3487,Vídeň,Matuška,584,NULL,Neuvedené,Neuvedené,polotmavý speciál Vienna Lager,Lager,Special,NULL,Polotmavý
3488,Voltage,Matuška,584,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Pale Ale ( Ale )",Ale,NULL,NULL,IPA
3489,Weizenbock,Matuška,584,NULL,Neuvedené,Neuvedené,Heller Weizenbock ( Weizenbock ),Ale,Wheat,NULL,Wheat Ale
3490,Wet Hop,Matuška,584,NULL,podzimní,wet hop,světlý speciál,Lager,Special,NULL,NULL
3491,Wet Hop Desítka 2018,Matuška,584,NULL,Neuvedené,wet hop,světlé výčepní,Lager,NULL,NULL,NULL
3492,Wet Hop Pale Ale,Matuška,584,NULL,Neuvedené,wet hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3493,Winter Ale (2015-2018),Matuška,584,NULL,zimní,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3494,Winter Ale (2020),Matuška,584,NULL,zimní,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3495,Winter Ale (2023/2024),Matuška,584,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3496,Winterbock,Matuška,584,NULL,zimní,Neuvedené,Heller Bock / Maibock ( Bock ) světlý speciál,Lager,Special,NULL,NULL
3497,Witbier,Matuška,584,NULL,Neuvedené,Neuvedené,Belgian Witbier,Ale,Wheat,NULL,"Belgian, Witbier"
3498,Zlatá raketa,Matuška,584,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3499,Zlatá raketa Wet Hop Mandarina,Matuška,584,NULL,Neuvedené,wet hop,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3500,Žemlovka,Matuška,584,NULL,Neuvedené,"jablečné pivo ( ovocné pivo , ochucené pivo ) hruškové pivo ( ovocné pivo , ochucené pivo ) broskvové pivo ( ovocné pivo , ochucené pivo )",Pastry Sour ( Sour Ale ),Ale,Sour,NULL,NULL
3501,Redlight 13,Maus Craft Brewery,585,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3502,G-Max 10°,Minipivovar Maxmilian,732,NULL,Neuvedené,"grapefruitové pivo ( ovocné pivo , ochucené pivo )",světlé výčepní,Lager,NULL,NULL,NULL
3503,Letní světlá výčepní 10°,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
3504,Medový speciál,Minipivovar Maxmilian,732,NULL,Neuvedené,medové pivo ( ochucené pivo ),polotmavý speciál,Lager,Special,NULL,Polotmavý
3505,Polibek,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,"Session IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3506,Polotmavý speciál 13°,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
3507,Skrytý Satyr,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3508,Světlá 11°,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
3509,Tmavý speciál 14°,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
3510,Vídeňský ležák 12°,Minipivovar Maxmilian,732,NULL,Neuvedené,Neuvedené,Vienna Lager polotmavý ležák,Lager,NULL,NULL,Polotmavý
3511,10° Dry hop Cascade,Mazák,68,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
3512,11° Jantar,Mazák,68,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
3513,13° Vánoční speciál,Mazák,68,NULL,vánoční,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
3514,2020 American Strong Ale,Mazák,68,NULL,jednorázová várka,Neuvedené,American Strong Ale ( Ale ),Ale,NULL,NULL,NULL
3515,2021 SMaSH Citra Imperial IPA,Mazák,68,NULL,"jednorázová várka , silvestrovské / novoroční",single hop,"Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3516,2022 DDH Triple Black IPA,Mazák,68,NULL,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,Dark,NULL,IPA
3517,Amber Ale,Mazák,68,NULL,Neuvedené,Neuvedené,Amber Ale ( Ale ),Ale,NULL,NULL,Amber
3518,American Amber Lager,Mazák,68,NULL,Neuvedené,Neuvedené,polotmavý ležák India Pale Lager,Lager,NULL,NULL,"IPL, Polotmavý"
3519,Australian IPA,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3520,Babí léto,Mazák,68,NULL,podzimní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3521,Baltic Porter,Mazák,68,NULL,Neuvedené,Neuvedené,Baltic Porter ( Porter ),Ale,Dark,NULL,Porter
3522,Black IPA,Mazák,68,NULL,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",Ale,Dark,NULL,IPA
3523,Bock,Mazák,68,NULL,Neuvedené,Neuvedené,Heller Bock / Maibock ( Bock ),Lager,NULL,NULL,NULL
3524,Bojanowitz Pilsener,Mazák,68,NULL,Neuvedené,Neuvedené,German Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
3525,Bojanowitz Rauchbier,Mazák,68,NULL,Neuvedené,nakuřované pivo,Dunkel,Lager,Dark,NULL,Dunkel
3526,Brown Ale,Mazák,68,NULL,Neuvedené,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",Ale,NULL,NULL,Brown Ale
3527,Bru-1 Modern IPA,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3528,Bylinkové pivo 11°,Mazák,68,NULL,Neuvedené,bylinné pivo ( ochucené pivo ),světlý ležák,Lager,NULL,NULL,NULL
3529,Celebration Sour India Pale Ale,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ) Sour Ale,Ale,Sour,NULL,IPA
3530,Coffee Porter,Mazák,68,NULL,Neuvedené,kávové pivo ( ochucené pivo ),Baltic Porter ( Porter ),Ale,Dark,NULL,Porter
3531,Coffee Stout (2020),Mazák,68,NULL,Neuvedené,kávové pivo ( ochucené pivo ),Dry Stout ( Stout ),Ale,Dark,NULL,Stout
3532,CZ IPA (2015),Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3533,Červeňák Fresh Hop Lager,Mazák,68,NULL,Neuvedené,single hop wet hop,světlý ležák,Lager,NULL,NULL,NULL
3534,Different IPA / S.M.A.S.H. IPA,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3535,English Pale Ale 2016,Mazák,68,NULL,Neuvedené,Neuvedené,"English Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,English Pale Ale
3536,English Pale Ale 2018,Mazák,68,NULL,Neuvedené,Neuvedené,"English Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,English Pale Ale
3537,Fancy Farmer,Mazák,68,NULL,Neuvedené,Neuvedené,American Wheat ( Wheat Ale ),Ale,Wheat,NULL,Wheat Ale
3538,Grape Sour Ale,Mazák,68,NULL,Neuvedené,"hroznové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,Ale,Sour,NULL,NULL
3539,Chipotle 14,Mazák,68,NULL,Neuvedené,nakuřované pivo chilli pivo ( ochucené pivo ),India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3540,Chmelobraní Fest Beer 2020,Mazák,68,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
3541,Imperial Stout (2017),Mazák,68,NULL,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
3542,Imperial Stout 21° Rum Oak Chips Aged,Mazák,68,NULL,Neuvedené,oak chips aged,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
3543,India Pale Ale,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3544,India Pale Lager,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
3545,Insania,Mazák,68,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
3546,Juicy Threesome NEIPA,Mazák,68,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3547,Kazbek Fresh Hop Lager,Mazák,68,NULL,Neuvedené,wet hop,světlý ležák,Lager,NULL,NULL,NULL
3548,Letní den,Mazák,68,NULL,letní,Neuvedené,Golden Ale ( Ale ),Ale,NULL,NULL,Blond/Golden
3549,Letní noc,Mazák,68,NULL,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",Ale,Dark,NULL,IPA
3550,Mkinvari,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3551,Narozeninový ležák,Mazák,68,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
3552,New England IPA,Mazák,68,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3553,NZ IPA,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
3554,Pale Ale 11°,Mazák,68,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3555,Pale Ale 12°,Mazák,68,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3556,Plum & Cinnamon Gose,Mazák,68,NULL,Neuvedené,"švestkové pivo ( ovocné pivo , ochucené pivo ) kořeněné pivo ( ochucené pivo )",Gose,Ale,Sour,NULL,Gose
3557,Podzimní IPA,Mazák,68,NULL,podzimní,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3558,Pšeničné,Mazák,68,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
3559,Pšeničný speciál 16°,Mazák,68,NULL,Neuvedené,Neuvedené,Heller Weizenbock ( Weizenbock ),Ale,Wheat,NULL,Wheat Ale
3560,Radiátor,Mazák,68,NULL,Neuvedené,Neuvedené,Doppelbock ( Bock ),Lager,Dark,NULL,Bock
3561,Rainbow of Death,Mazák,68,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3562,Saaz Shine 12,Mazák,68,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
3563,Session IPA,Mazák,68,NULL,Neuvedené,Neuvedené,"Session IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
3564,Single Hop Ale Amarillo,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3565,Single Hop Ale Ariana,Mazák,68,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3566,Single Hop Ale Azacca,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3567,Single Hop Ale Barbe Rouge,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3568,Single Hop Ale Bravo,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3569,Single Hop Ale Calypso,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3570,Single Hop Ale Cascade,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3571,Single Hop Ale Centennial,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3572,Single Hop Ale Columbus,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3573,Single Hop Ale Comet,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3574,Single Hop Ale Dr. Rudi,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3575,Single Hop Ale El Dorado,Mazák,68,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3576,Single Hop Ale Ella,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3577,Single Hop Ale Enigma,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3578,Single Hop Ale Galena,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3579,Single Hop Ale Challenger,Mazák,68,NULL,Neuvedené,single hop,"English Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,English Pale Ale
3580,Single Hop Ale Idaho 7,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3581,Single Hop Ale Jarrylo,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3582,Single Hop Ale Kazbek,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3583,Single Hop Ale Lemondrop,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3584,Single Hop Ale Mandarina,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3585,Single Hop Ale Mosaic,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3586,Single Hop Ale Motueka,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3587,Single Hop Ale Nelson Sauvin,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3588,Single Hop Ale Nugget,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3589,Single Hop Ale Sabro,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3590,Single Hop Ale Sorachi Ace,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3591,Single Hop Ale Southern Passion,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3592,Single Hop Ale Sticklebract,Mazák,68,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
3593,Single Hop Ale Tomahawk,Mazák,68,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
3594,Stereo IPL Sabro/Sorachi Ace,Mazák,68,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
3595,Stout,Mazák,68,NULL,Neuvedené,Neuvedené,Dry Stout ( Stout ),Ale,Dark,NULL,Stout
3596,Street IPA,Mazák,68,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
