id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
79,Sour Station Sea Buckthorn,Axiom,289,NULL,Neuvedené,rakytníkové pivo ( ochucené pivo ),Berliner Weisse,Ale,Sour,Wheat,Berliner Weisse
80,Summer Boogie Session IPA,Axiom,289,NULL,letní,Neuvedené,"Session IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
81,Sunset Sari,Axiom,289,NULL,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo )","New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
82,The UnderKveiker,Axiom,289,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
83,Universum Aztec,Axiom,289,NULL,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
84,Vibe Check,Axiom,289,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
85,American Ale,Bad Boy / Pacovský pivovar Na Mýtince,546,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
86,American IPA,Bad Boy / Pacovský pivovar Na Mýtince,546,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
87,Grumpy & Smiley,Bad Flash,431,NULL,Neuvedené,kořeněné pivo ( ochucené pivo ),Baltic Porter ( Porter ),Ale,Dark,NULL,Porter
88,Grumpy & Smiley Wood Aged Absinth,Bad Flash,431,NULL,Neuvedené,oak chips aged,Baltic Porter ( Porter ),Ale,Dark,NULL,Porter
89,Grumpy & Smiley Wood Aged Lagavulin,Bad Flash,431,NULL,Neuvedené,oak chips aged,Baltic Porter ( Porter ),Ale,Dark,NULL,Porter
90,Anniversary New England IPA,Bad Flash / Zhůřák,431,426,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
91,Black List,Bad Flash,431,NULL,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",Ale,Dark,NULL,IPA
92,Čáry Fuck 2019,Bad Flash,431,NULL,filipojakubské (pálení čarodějnic),nakuřované pivo,polotmavý ležák,Lager,NULL,NULL,Polotmavý
93,Desítka,Bad Flash,431,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
94,Double IPA,Bad Flash,431,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
95,GS Weissbier,Bad Flash,431,NULL,Neuvedené,Neuvedené,American Wheat ( Wheat Ale ),Ale,Wheat,NULL,Wheat Ale
96,Lost Chance,Bad Flash,431,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
97,MaxiSaison,Bad Flash,431,NULL,Neuvedené,Neuvedené,Strong Saison ( Saison ),Ale,NULL,NULL,Saison
98,NEIPA,Bad Flash,431,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
99,Oukach Kozé / Drum 'n' Bass Party IPA,Bad Flash,431,NULL,Neuvedené,Neuvedené,"Belgian IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,"Belgian, IPA"
100,Pecka,Bad Flash,431,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
101,Red Shorts IPA,Bad Flash,431,NULL,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
102,Sex-APPAel,Bad Flash,431,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
103,Sour Ale BlackCurrant & Pink Pepper,Bad Flash,431,NULL,Neuvedené,"černorybízové pivo ( ovocné pivo , ochucené pivo ) pepřové pivo ( kořeněné pivo , ochucené pivo )",Sour Ale,Ale,Sour,NULL,NULL
104,Statečné srdíčko,Bad Flash,431,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
105,Stěhovák,Bad Flash,431,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
106,tmavý ležák,Bad Flash,431,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
107,White Beauty,Bad Flash,431,NULL,Neuvedené,Neuvedené,Belgian Witbier,Ale,Wheat,NULL,"Belgian, Witbier"
108,Dark,Minipivovar Bahno,356,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
109,Pale Ale,Minipivovar Bahno,356,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
110,Pils,Minipivovar Bahno,356,NULL,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
111,Stout,Minipivovar Bahno,356,NULL,Neuvedené,Neuvedené,Stout,Ale,Dark,NULL,Stout
112,Weizen,Minipivovar Bahno,356,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
113,Weizen tmavý,Minipivovar Bahno,356,NULL,Neuvedené,Neuvedené,Dunkelweizen,Ale,Dark,Wheat,"Dunkel, Wheat Ale"
114,11° světlá,Bakalář,547,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
115,14° Rakovar 560,Bakalář,547,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
116,medový speciál,Bakalář,547,NULL,Neuvedené,medové pivo ( ochucené pivo ),polotmavý speciál,Lager,Special,NULL,Polotmavý
117,Nealkoholický za studena chmelený,Bakalář,547,NULL,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),Lager,Non-alco,NULL,NULL
118,polotmavé 11°,Bakalář,547,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
119,polotmavé výčepní,Bakalář,547,NULL,Neuvedené,Neuvedené,polotmavé výčepní,Lager,NULL,NULL,Polotmavý
120,světlé výčepní,Bakalář,547,NULL,Neuvedené,Neuvedené,světlé výčepní Bohemian Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
121,světlý ležák,Bakalář,547,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
122,světlý ležák nefiltrovaný,Bakalář,547,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
123,tmavé výčepní,Bakalář,547,NULL,Neuvedené,Neuvedené,tmavé výčepní,Lager,Dark,NULL,NULL
124,za studena chmelený,Bakalář,547,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
125,za studena chmelený z čerstvého chmele,Bakalář,547,NULL,Neuvedené,wet hop,světlý ležák,Lager,NULL,NULL,NULL
126,Bambus Lemur IPA,Pivovarský dům Benedict,492,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
127,India Pale Ale 14°,Baraba,232,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
128,Polotmavý medový ležák 11°,Baraba,232,NULL,Neuvedené,medové pivo ( ochucené pivo ),polotmavý ležák,Lager,NULL,NULL,Polotmavý
129,Světlý ležák 12°,Baraba,232,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
130,Výčepní 10°,Baraba,232,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
