id,nazev_pivovaru,detail_nazvu,zeme,typ,mesto,kraj,adresa,zalozeno,ico,ico_obchodni_jmeno,web,prodejna,prodejna_vycap
1,Bajer,NULL,Česká republika,uzavřený pivovar,Frymburk,Jihočeský kraj,"Kovářov 13, 38226 Frymburk",2019,1134710,Petr Bajer,http://www.divoch.net/,0,0
2,Beeranek,NULL,Česká republika,restaurační pivovar,České Budějovice,Jihočeský kraj,"Česká 7/55, České Budějovice",2014,NULL,Radim Beránek fyzická osoba,https://beeranek.cz,1,1
3,Bohemia Regent,NULL,Česká republika,průmyslový pivovar,Třeboň,Jihočeský kraj,"Trocnovské náměstí 124, Třeboň",1379,25189298,Bohemia Regent spol. s r.o.,https://www.pivovar-regent.cz/,1,1
4,Brandlínská Kuna,NULL,Česká republika,minipivovar,Brandlín,Jihočeský kraj,"Brandlín 46, 392 01 Tučapy",2019,88352552,Lukáš Mládek fyzická osoba,www.pivovarkuna.cz,1,0
5,Březí koza,NULL,Česká republika,minipivovar,Vlachovo Březí,Jihočeský kraj,"Vlachova 353, 38422 Vlachovo Březí",2019,NULL,Panský pivovar Vlachovo Březí s.r.o.,https://brezikoza.cz,1,1
6,Budweiser Budvar,NULL,Česká republika,průmyslový pivovar,České Budějovice,Jihočeský kraj,"Karolíny Světlé 512/4, České Budějovice",1895,514152,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",https://www.budejovickybudvar.cz/,1,1
7,Bukovar,NULL,Česká republika,minipivovar,Dolní Bukovsko,Jihočeský kraj,"Jiráskovo 54, Dolní Bukovsko",2018,4483588,Rodinný pivovar Bukovar s.r.o.,https://bukovar.cz,1,1
8,Čejetice,NULL,Česká republika,minipivovar,Čejetice,Jihočeský kraj,"Čejetice 13, Čejetice",2020,251054,Obec Čejetice,https://www.pivovarcejetice.cz/,1,1
9,Český Krumlov,Eggenberg,Česká republika,minipivovar,Český Krumlov,Jihočeský kraj,"Pivovarská 27, Český Krumlov",1560,38041,Bytové družstvo Český Krumlov,https://www.pivovarceskykrumlov.cz/,1,1
10,Čížová,NULL,Česká republika,minipivovar,Čížová,Jihočeský kraj,"Čížová 1, 398 31 Čížová",2019,1909878,Pivovar Čížová s.r.o.,https://www.pivovarcizova.cz/,1,NULL
11,DOUBLE*BEER,NULL,Česká republika,minipivovar,Doudleby,Jihočeský kraj,"Doudleby 65, 370 07 Doudleby",2022,14265273,DOUDLEBEER s.r.o.,www.doudlebeer.cz,1,0
12,Glokner,NULL,Česká republika,restaurační pivovar,Mirkovice,Jihočeský kraj,"Svachova Lhotka 1, Mirkovice",2013,NULL,NULL,https://www.svachovka.cz/restaurace-a-pivovar#pivovar-svachovka,1,1
13,Haďák,NULL,Česká republika,minipivovar,Strakonice,Jihočeský kraj,"Čelakovského 289, 386 01 Strakonice",2019,47541245,HADAK  s.r.o.,https://www.facebook.com/Minipivovarhadak/,0,NULL
14,Hluboká,NULL,Česká republika,restaurační pivovar,Hluboká nad Vltavou,Jihočeský kraj,"náměstí Československé armády 1111, Hluboká nad Vltavou",2017,4800931,Pivovar Hluboká s.r.o.,https://pivovarhluboka.cz,1,1
15,Horní Chrášťany,NULL,Česká republika,uzavřený pivovar,Horní Chrášťany,Jihočeský kraj,"Horní Chrášťany 43, Horní Chrášťany",2017,7988001,Myslivecký spolek Horní Chrášťany,https://www.ekofarmachrastany.cz,0,0
16,Hulvát,NULL,Česká republika,minipivovar,Truskovice,Jihočeský kraj,Truskovice 32,2018,14096692,"Pivovar Hulvát, s.r.o.",https://pivovarhulvat.cz,1,0
17,Chotoviny,NULL,Česká republika,uzavřený pivovar,Chotoviny,Jihočeský kraj,"Na Nádvoří 1, Chotoviny",2011,64578640,Pivovar Chotoviny s.r.o.,NULL,0,0
18,Jindřichohradecký pivovar Černý orel,NULL,Česká republika,uzavřený pivovar,Jindřichův Hradec,Jihočeský kraj,"Náměstí míru 165/I, Jindřichův Hradec",2013,NULL,NULL,NULL,0,0
19,Keras Bechyně,NULL,Česká republika,restaurační pivovar,Bechyně,Jihočeský kraj,"Písecká 376, Bechyně",2018,NULL,CERASUS BOHEMIA s.r.o.,https://www.pivovarkerasbechyne.cz/,1,1
20,Krajinská 27,NULL,Česká republika,restaurační pivovar,České Budějovice,Jihočeský kraj,"Krajinská 27, České Budějovice",2014,2679159,PIVOVARSKÁ RESTAURACE KRAJINSKÁ 27 s.r.o.,https://www.krajinska27.cz,1,1
21,Křížek,NULL,Česká republika,minipivovar,Tábor,Jihočeský kraj,"Za Hřištěm 448, Tábor",2018,1051482,MUDr. Pavel Křížek,https://pivovarkrizek.cz,1,1
22,Kvilda,NULL,Česká republika,restaurační pivovar,Kvilda,Jihočeský kraj,"Kvilda 75, Kvilda",2011,250511,Obec Kvilda,https://www.obeckvilda.cz/kvilda/,0,1
23,Lachtan,NULL,Česká republika,létající pivovar,Prachatice,Jihočeský kraj,"Velké náměstí 5, Prachatice",2016,8792551,Lachtan Gusto s.r.o.,https://www.lachtan.cz/,0,0
24,Malt,NULL,Česká republika,létající pivovar,České Budějovice,Jihočeský kraj,"České Vrbné 1959, České Budějovice",2014,2898721,Pivovar Malt s.r.o.,NULL,NULL,0
25,Městský pivovar Volary,NULL,Česká republika,restaurační pivovar,Volary,Jihočeský kraj,"Náměstí 325, Volary",2013,NULL,NULL,https://www.facebook.com/pages/M%C4%9Bstsk%C3%BD%20Pivovar%20Volary/132281624142171/#,0,1
26,Minipivovar ZF JU,NULL,Česká republika,minipivovar,České Budějovice,Jihočeský kraj,"Na Zlaté stoce 690/3, České Budějovice",2016,NULL,NULL,https://www.facebook.com/minipivovarctyrak/?locale=cs_CZ,0,NULL
27,Nová Bystřice,NULL,Česká republika,restaurační pivovar,Nová Bystřice,Jihočeský kraj,"Vídeňská 136, Nová Bystřice",2018,247138,Město Nová Bystřice,https://pivovarnovabystrice.cz,1,1
28,Obora,NULL,Česká republika,minipivovar,Malšice,Jihočeský kraj,"Obora 4, Malšice",2016,5292913,Pivovar Obora s.r.o.,https://www.pivovarobora.cz/,1,1
29,Písecký Hradební pivovar,NULL,Česká republika,uzavřený pivovar,Písek,Jihočeský kraj,"V Koutě 90/4, Písek",2017,NULL,Písecký hradební pivovar a.s.,NULL,0,0
30,Pivovar Český Rudolec,NULL,Česká republika,restaurační pivovar,Český Rudolec,Jihočeský kraj,"Český Rudolec 75, Český Rudolec",2015,NULL,NULL,https://malahluboka.cz/pivovar-grasel/,NULL,1
31,Pivovar Jílovice,NULL,Česká republika,minipivovar,Jílovice,Jihočeský kraj,Jílovice 147,2015,22821163,PIVOVAR JÍLOVICE Z.S.,https://pivovarjilovice.cz,1,1
32,Pivovar Prachatice,NULL,Česká republika,restaurační pivovar,Prachatice,Jihočeský kraj,Horní 174,2015,7397623,"Restaurace & Penzion Pivovar Prachatice, s.r.o.",https://www.pivovarprachatice.cz/,1,1
33,Pivovárek pánů z Růže Jindřichův Hradec,NULL,Česká republika,uzavřený pivovar,Jindřichův Hradec,Jihočeský kraj,"Vídeňská 159, Jindřichův Hradec",2013,NULL,NULL,NULL,0,0
34,Pivovarský dvůr Lipan,NULL,Česká republika,restaurační pivovar,Dražíč,Jihočeský kraj,"Dražíč 50, Týn nad Vltavou",1998,NULL,Papula s.r.o.,https://www.pivovar-lipan.cz,1,1
35,Pivovarský dvůr Zvíkov,NULL,Česká republika,restaurační pivovar,Zvíkovské Podhradí,Jihočeský kraj,"Zvíkovské Podhradí 92, Písek",1994,27176797,Pivovarský dvůr Zvíkov s.r.o.,https://www.pivovar-zvikov.cz/,0,1
36,Platan Protivín,"Pivovary Lobkowicz, a.s.",Česká republika,průmyslový pivovar,Protivín,Jihočeský kraj,"Pivovar 168, Protivín",1598,60083263,Myslivecký spolek Platan Protivín,https://www.pivovar-protivin.cz/,1,1
37,Pod Besedou,NULL,Česká republika,restaurační pivovar,Tábor,Jihočeský kraj,"Žižkovo náměstí 5, 39001 Tábor",2018,NULL,SSJS Tábor,https://www.restaurace-beseda.cz,1,1
38,Popelín,NULL,Česká republika,minipivovar,Popelín,Jihočeský kraj,"Popelín 43, Popelín",2014,1744160,Pivovar Popelín s.r.o.,https://pivovarpopelin.cz,NULL,1
39,První českobudějovický minipivovar Kněžínek,NULL,Česká republika,restaurační pivovar,České Budějovice,Jihočeský kraj,"Nové Dvory 2235, České Budějovice",2012,NULL,NULL,https://www.knezinek.cz/,1,1
40,Samson,NULL,Česká republika,průmyslový pivovar,České Budějovice,Jihočeský kraj,"Lidická 51, České Budějovice",1795,2495520,Pivovar Samson s.r.o.,https://samson.cz,1,1
41,Solnice,NULL,Česká republika,restaurační pivovar,České Budějovice,Jihočeský kraj,"Hroznová 187/34, České Budějovice",2019,7118279,PIVOVAR SOLNICE a.s.,https://www.pivovarsolnice.cz/,1,1
42,Strakonice,NULL,Česká republika,průmyslový pivovar,Strakonice,Jihočeský kraj,"Podskalská 324, Strakonice",1649,38911,Stavební bytové družstvo Strakonice,https://www.pivovar-strakonice.cz,1,1
43,Studánky,NULL,Česká republika,restaurační pivovar,Vyšší Brod,Jihočeský kraj,"Studánky 98, 38273 Vyšší Brod",2018,6312021,Myslivecký spolek Studánky,https://pivovarstudanky.cz,0,1
44,Šumavský pivovar,NULL,Česká republika,restaurační pivovar,Vimperk,Jihočeský kraj,"Steinbrenerova 48/1, Vimperk",2010,NULL,"Hojdarovi, s.r.o.",https://sumavskypivovar.cz,1,1
45,Transformátor,NULL,Česká republika,minipivovar,Hlavatce,Jihočeský kraj,"Hlavatce 9, Hlavatce",2016,24273031,ABB Transformator Servis Praha a.s.,https://www.facebook.com/pivovar.transformator/,0,NULL
46,Vltavotýnský pivovar,NULL,Česká republika,minipivovar,Týn nad Vltavou,Jihočeský kraj,"Pivovarská 510 37501, Týn nad Vltavou",2019,4435478,Vltavotýnský pivovar s.r.o.,www.pivovartyn.cz,1,1
47,Vyšší Brod,NULL,Česká republika,uzavřený pivovar,Vyšší Brod,Jihočeský kraj,"Kaplická 28, Vyšší Brod",2008,246191,Město Vyšší Brod,https://www.mestovyssibrod.cz/,0,0
48,Zámecká palírna & pivovar Blatná,NULL,Česká republika,minipivovar,Blatná,Jihočeský kraj,"Plzeňská 315, Blatná",2016,NULL,NULL,https://zameckapalirna.cz/index.php,1,0
49,Zevlův mlýn,NULL,Česká republika,minipivovar,Nové Hrady,Jihočeský kraj,"Jižní město 143, Nové Hrady",2018,6260349,Zevlův mlýn s.r.o.,https://www.zevluvmlyn.cz/,1,1
50,Žumberk,NULL,Česká republika,minipivovar,Žumberk,Jihočeský kraj,"Žumberk 15, Trhové Sviny",2011,271292,Městys Žumberk,https://pivovarzumberk.cz,0,1
51,Lhotecký mlýn,NULL,Česká republika,restaurační pivovar,Dolní Lhota,Jihomoravský kraj,"Dolní Lhota 123, 678 01 Blansko - Dolní Lhota",2022,25341774,Lhotecký mlýn s.r.o.,https://www.lhoteckymlyn.cz/,1,1
52,HARRY,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Poštovská 68/3, 602 00 Brno-střed",2021,8951004,Pivovar HARRY a.s.,http://www.harry.com/,0,1
53,Holy Farm / Pod Ořechem,NULL,Česká republika,létající pivovar,Petrov,Jihomoravský kraj,"Petrov 349, Petrov",2012,NULL,Wista Cz-Ek s.r.o.,https://www.pod-orechem.cz,0,0
54,Černá Hora,"Pivovary Lobkowicz, a.s.",Česká republika,průmyslový pivovar,Černá Hora,Jihomoravský kraj,"Černá Hora 3/5, Černá Hora",1298,280097,Městys Černá Hora,https://www.cernahora.eu/,1,1
55,Vyškov,NULL,Česká republika,uzavřený pivovar,Vyškov,Jihomoravský kraj,"Čs. armády 116/4, Vyškov",1680,226548,"Pečovatelská služba Vyškov, příspěvková organizace",https://www.pivovyskov.cz/,0,0
56,Starobrno,Heineken,Česká republika,průmyslový pivovar,Brno,Jihomoravský kraj,"Hlinky 160/12, Brno",1872,11698314,Futsal Starobrno staré Brno z. s.,https://www.starobrno.cz/,1,NULL
57,Kvasar,NULL,Česká republika,minipivovar,Sentice,Jihomoravský kraj,"Sentice 13, Tišnov",1992,27754316,PIVO KVASAR s.r.o.,https://www.pivokvasar.cz/,1,1
58,Pegas,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Jakubská 4, Brno",1992,7137974,PEGAS BYTY s.r.o.,https://brnopivovar.hotelpegas.com,1,1
59,Sladařský ústav Brno,domovarnictví,Česká republika,domovarnictví,Brno,Jihomoravský kraj,"Mostecká 971/7, Brno",1994,62159402,"ZO NOS PPP Výzkumný ústav pivovarský a sladařský, a.s. Praha, pracoviště Brno",https://beerresearch.cz/,0,0
60,Kunc,NULL,Česká republika,restaurační pivovar,Hodonín,Jihomoravský kraj,"Národní třída 10, Hodonín",1994,1090186,David Kunc,https://www.facebook.com/minipivovarkunc/?locale=cs_CZ,0,1
61,Zámecký pivovar Oslavany,NULL,Česká republika,uzavřený pivovar,Oslavany,Jihomoravský kraj,"Zámecká 1/16, Oslavany",2003,29376998,Městský zámecký pivovar Oslavany s.r.o.,NULL,0,0
62,U Richarda,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Ríšova 12, Brno",2004,19484151,U Richarda Rychaltice s.r.o.,https://uricharda.cz,0,1
63,Xaver,NULL,Česká republika,minipivovar,Blučina,Jihomoravský kraj,"Havlíčkova 99, Blučina",2006,537705,XAVER akciová společnost,https://xtv.cz/,0,1
64,Pod Kněží horou,NULL,Česká republika,minipivovar,Bzenec,Jihomoravský kraj,"Partyzánská 1012, Bzenec",2007,NULL,Radomil Paták fyzická osoba,https://www.knezihora.cz,NULL,0
65,Santon,NULL,Česká republika,minipivovar,Měnín,Jihomoravský kraj,"Měnín 440, Měnín",2010,3830535,TopAuto Santon s.r.o.,https://santon.com,0,0
66,Na Mlýně Ratíškovice,NULL,Česká republika,restaurační pivovar,Ratíškovice,Jihomoravský kraj,"Vítězná 1220, Ratíškovice",2010,NULL,NULL,https://www.namlyne.com/,NULL,1
67,Mamut,NULL,Česká republika,minipivovar,Mikulov,Jihomoravský kraj,"Venušina 1, Mikulov",2011,2458764,Sportovní klub MAMUT s.r.o.,https://www.pivovarmamut.cz/,1,1
68,Mazák,NULL,Česká republika,minipivovar,Dolní Bojanovice,Jihomoravský kraj,"Hodonínská 1110, Dolní Bojanovice",2011,7677065,Pivovar Mazák s.r.o.,https://pivovarmazak.cz,1,1
69,Magistr,NULL,Česká republika,uzavřený pivovar,Brno,Jihomoravský kraj,"Hrnčířská 23, Brno",2011,1522248,Magistr TOM s.r.o.,https://www.magistr.cz/,0,0
70,Líšeňský pivovar,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Kotlanova 5, Brno",2011,5325773,Restaurace - Líšeňský pivovar s.r.o.,https://www.lisenskypivovar.cz/,1,1
71,1. chodský pivovárek na Moravě,NULL,Česká republika,uzavřený pivovar,Šitbořice,Jihomoravský kraj,"Osvobození 29, Šitbořice",2012,NULL,1.chodský pivovárek na Moravě,NULL,0,0
72,Moravský Žižkov,NULL,Česká republika,restaurační pivovar,Moravský Žižkov,Jihomoravský kraj,"Chalúpky 485, Moravský Žižkov",2012,29310539,"PIVOVAR MORAVSKÝ ŽIŽKOV, s.r.o.",https://www.moravskyzizkov.cz/,1,1
73,Syrovar,NULL,Česká republika,minipivovar,Syrovín,Jihomoravský kraj,"Syrovín 31, Syrovín",2012,66627605,Vojtěch Kolaja fyzická osoba,https://www.syrovar.cz/,1,1
74,Minipivovar U Dyje,NULL,Česká republika,minipivovar,Nový Šaldorf - Sedlešovice,Jihomoravský kraj,"Sedlešovice 95, Nový Šaldorf - Sedlešovice",2012,4090209,Minipivovar U Dyje s.r.o.,https://www.minipivovarudyje.cz/,1,1
75,Sovíček,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,Brno,2013,5224365,Lesní klub U tří soviček z.s.,NULL,NULL,0
76,Slavkovský pivovar,NULL,Česká republika,restaurační pivovar,Slavkov u Brna,Jihomoravský kraj,"U Mlýna 1422, Slavkov u Brna",2013,29313678,Slavkovský pivovar s.r.o.,https://slavkovskypivovar.cz,1,1
77,Zámecký pivovar Bratčice,NULL,Česká republika,minipivovar,Bratčice,Jihomoravský kraj,"Bratčice 106, Bratčice, Jihomoravský kraj",2013,NULL,"Zámecký pivovar, a.s.",https://www.pivovarbratcice.cz/,1,1
78,Zámecký pivovar Břeclav,NULL,Česká republika,průmyslový pivovar,Břeclav,Jihomoravský kraj,"Pod Zámkem 625/8, Břeclav",2013,NULL,Pivovary Koruny české s.r.o.,https://www.pivovarbreclav.cz/,1,0
79,Vesnický pivovar Ohrada,NULL,Česká republika,restaurační pivovar,Vísky,Jihomoravský kraj,"Vísky 100, Vísky u Letovic",2013,29297419,Vesnický pivovar OHRADA s.r.o.,https://www.ohrada.cz/co-u-nas-najdete/pivovar,1,1
80,Lucky Bastard,NULL,Česká republika,minipivovar,Brno,Jihomoravský kraj,"Kytnerova 5, Brno",2013,NULL,"Czech Craft Beers, a.s.",https://www.lucky-bastard.cz/,1,NULL
81,Lišák,NULL,Česká republika,minipivovar,Topolany,Jihomoravský kraj,"Topolany 19, Topolany",2013,3999289,Spolek Lišák,https://www.lisak.cz/,0,0
82,Městský zámecký pivovar Oslavany,NULL,Česká republika,restaurační pivovar,Oslavany,Jihomoravský kraj,"Zámecká 1/16, Oslavany",2013,29376998,Městský zámecký pivovar Oslavany s.r.o.,https://www.facebook.com/p/M%C4%9Bstsk%C3%BD-z%C3%A1meck%C3%BD-pivovar-Oslavany-100057213499755/,0,1
83,Albert kočovný pivovar,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Pellicova 10, Brno",2014,NULL,NULL,https://www.facebook.com/albertalecz/?locale=cs_CZ,0,0
84,Veselský pivovárek,domovarnictví,Česká republika,domovarnictví,Brno,Jihomoravský kraj,Brno,2014,NULL,NULL,NULL,0,0
85,Pivečka,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,Brno,2014,13027310,Ing. arch. Tomáš Pivečka,https://pivecka.cz,1,0
86,Hodonínský Vojáček,NULL,Česká republika,uzavřený pivovar,Hodonín,Jihomoravský kraj,"Bratislavská 1/6, Hodonín",2014,NULL,ESTREMIA a.s.,NULL,0,0
87,Charlie's square,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Masarykova 25, Brno",2014,NULL,Charlie's Square,https://www.charliessquare.cz/,1,1
88,Doubravník,NULL,Česká republika,minipivovar,Doubravník,Jihomoravský kraj,"Doubravník 109, Doubravník",2014,6723179,Pivovar Doubravník s.r.o.,https://pivovardoubravnik.cz,1,1
89,Frankies,NULL,Česká republika,minipivovar,Břeclav,Jihomoravský kraj,"J. Palacha 121/8, Břeclav",2014,11728752,Frankies Gym s.r.o.,https://frankies.com,0,0
90,Baran,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,Brno,2014,1076353,David Baran,https://baran.cz,1,0
91,Parní pivovar Hauskrecht,NULL,Česká republika,minipivovar,Brno,Jihomoravský kraj,"Porážka 208/3, Brno",2014,NULL,NULL,https://www.hauskrecht.cz/,1,1
92,Šumický pivovar Vildenberg,NULL,Česká republika,restaurační pivovar,Viničné Šumice,Jihomoravský kraj,Viničné Šumice 389,2014,49413279,Aleš Šmerda fyzická osoba,www.vildenberg.cz,1,1
93,Kyjovský pivovar,NULL,Česká republika,restaurační pivovar,Kyjov,Jihomoravský kraj,"Komenského 596/66, Kyjov",2014,NULL,Kyjovský pivovar,https://www.kyjovsky-pivovar.cz/,1,1
94,Velický Bombarďák,NULL,Česká republika,minipivovar,Velká nad Veličkou,Jihomoravský kraj,Velká nad Veličkou 111,2015,3157661,Velický Bombarďák s.r.o.,https://www.velickybombardak.cz/,1,1
95,Hradní pivovar Hustopeče,NULL,Česká republika,uzavřený pivovar,Hustopeče,Jihomoravský kraj,"Hradní 2, Hustopeče",2015,NULL,"MATOCHA, spol. s r.o.",NULL,0,0
96,Minipivovar Dráteník,NULL,Česká republika,minipivovar,Únanov,Jihomoravský kraj,Únanov 150,2015,NULL,Málek Beer s.r.o.,https://www.pivovar-dratenik.cz,1,1
97,Minipivovar Na Vyhlídce,NULL,Česká republika,minipivovar,Moravská Nová Ves,Jihomoravský kraj,Na Kopci 575,2015,4303628,"Minipivovar Na Vyhlídce, s.r.o.",https://pivovarnavyhlidce.cz,1,1
98,Pivovar Padochov,NULL,Česká republika,minipivovar,Padochov,Jihomoravský kraj,"Padochov 231, Oslavany",2015,29183952,Pivovar Padochov s.r.o.,https://www.pivovarpadochov.cz/,1,1
99,Pivovar Galant,NULL,Česká republika,restaurační pivovar,Mikulov,Jihomoravský kraj,"Mlýnská 2, Mikulov",2015,NULL,Hotel Galant s.r.o.,https://galant.cz,1,1
100,Létající pivovar Dragonfly,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Skryjova 8, Brno",2015,NULL,"Pivovar Dragon Beer, s.r.o.",https://www.facebook.com/dragonflybeer/?locale=cs_CZ,0,0
101,Pivovar u Šneka,NULL,Česká republika,minipivovar,Znojmo,Jihomoravský kraj,"Vídeňská třída 3442/10, Znojmo",2015,4042751,Pivovar u Šneka s.r.o.,https://www.pivovarusneka.cz/,1,1
102,Minipivovar Manner,NULL,Česká republika,uzavřený pivovar,Bohdalice-Pavlovice,Jihomoravský kraj,Bohdalice 303,2015,NULL,Stáj Manner Bohdalice,NULL,0,0
103,Schrott Brewing Company,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Křenová 10, Brno",2015,NULL,Jan Dvořák fyzická osoba,https://www.schrott.cz,0,0
104,Znojemský pivovar,NULL,Česká republika,minipivovar,Znojmo,Jihomoravský kraj,Hradní 87/2,2015,3517187,Znojemský městský pivovar a.s.,https://www.pivovarznojmo.cz,1,1
105,Hasičský pivovar Bítov,NULL,Česká republika,restaurační pivovar,Bítov,Jihomoravský kraj,"Bítov 101, Bítov",2015,NULL,Roman Tesař fyzická osoba,https://www.pivovarbitov.cz,1,1
106,Kočovný Kozi,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Vlhká 172/16, Brno",2016,NULL,LetKoz s.r.o,https://www.kocovnykozi.cz/,1,0
107,Beerserker / Duck&Dog,NULL,Česká republika,minipivovar,Rajhrad,Jihomoravský kraj,"Stará pošta 750, Rajhrad",2016,NULL,NULL,https://www.duckdog.cz/,1,1
108,Květnice,NULL,Česká republika,minipivovar,Tišnov,Jihomoravský kraj,"Hornická 1698, Tišnov",2016,48577,"KVĚTNICE, stavební bytové družstvo",https://pivovar-kvetnice.cz/,1,1
109,Wild Creatures,NULL,Česká republika,minipivovar,Dolní Dunajovice,Jihomoravský kraj,"Mlýnská, Dolní Dunajovice",2016,9242872,Wild Creatures s.r.o.,https://www.wildcreatures.cz/,1,0
110,Tišnov,NULL,Česká republika,minipivovar,Tišnov,Jihomoravský kraj,"Ostrovec 233, Tišnov",2016,4479939,Pivovar Tišnov s.r.o.,https://www.pivovartisnov.cz/,1,1
111,Grádo,NULL,Česká republika,minipivovar,Tišnov,Jihomoravský kraj,"Červený mlýn 170, Tišnov",2017,2554224,Bytové družstvo Grádo Louky,https://www.grado.com/,0,0
112,Křikloun,NULL,Česká republika,minipivovar,Hodonín,Jihomoravský kraj,"Velkomoravská 2209/69, Hodonín",2017,6494595,KŘIKLOUN s.r.o.,https://krikloun.cz,1,1
113,JBM Brew Lab,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Grohova 17, Brno",2017,NULL,Masters of craft s.r.o.,https://www.jbmbrewlab.cz,0,1
114,Brewniverse,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Tábor 25, Brno",2017,NULL,NULL,https://www.facebook.com/brewniverse.nbs/,0,0
115,Repete,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Kolískova 15, Brno",2017,21918988,REPETE food s.r.o.,https://www.facebook.com/repetebeer/?locale=cs_CZ,0,0
116,První soběšický pivovar,NULL,Česká republika,minipivovar,Brno,Jihomoravský kraj,"Zeiberlichova 60/52, Brno Soběšice",2017,NULL,Pavel Nekut fyzická osoba,https://www.sobesicke-pivo.cz,1,1
117,Hnanice,NULL,Česká republika,restaurační pivovar,Hnanice u Znojma,Jihomoravský kraj,"Hnanice 97, Hnanice u Znojma",2017,600351,Obec Hnanice,https://www.vinice-hnanice.cz/pivovar/,1,1
118,Slivon's Brewing Company,NULL,Česká republika,létající pivovar,Brno,Jihomoravský kraj,"Nové Sady 988/2, Brno",2017,6095895,Slivon´s Brewing Company s.r.o.,NULL,NULL,0
119,Krum,NULL,Česká republika,restaurační pivovar,Moravský Krumlov,Jihomoravský kraj,"Znojemská 393, Moravský Krumlov",2017,26097648,Krum Art s.r.o.,https://www.pivokrum.cz/,0,1
120,Moravia,NULL,Česká republika,minipivovar,Brno,Jihomoravský kraj,"Kytnerova 5, Brno",2017,149390,"MORAVIA GLASS, akciová společnost v likvidaci",https://pivovar-moravia.cz/,1,1
121,Panský pivovar Sokolnice,NULL,Česká republika,restaurační pivovar,Sokolnice,Jihomoravský kraj,"Zámecká 151, Sokolnice",2017,NULL,"Pivovar Sokolnice, s.r.o.",https://pivovarsokolnice.cz,1,1
122,Genius noci,NULL,Česká republika,minipivovar,Lomnice,Jihomoravský kraj,"Palackého nám. 330, Lomnice",2017,4955153,"Genius noci, s.r.o.",https://geniusnoci.cz,1,1
123,Vranov,NULL,Česká republika,létající pivovar,Vranov,Jihomoravský kraj,"Vranov 67, Vranov",2018,6301983,Pivovar Vranov s.r.o.,http://www.pivovar-vranov.cz/o-nas/,1,0
124,Tor,NULL,Česká republika,minipivovar,Šatov,Jihomoravský kraj,"Šatov 387, Šatov",2018,1625632,ToR s.r.o.,https://www.facebook.com/torpivovar/?locale=cs_CZ,0,NULL
125,Feldsberg,NULL,Česká republika,restaurační pivovar,Valtice,Jihomoravský kraj,"Zámecká 1222, Valtice",2018,6957536,Feldsberg Valtice s.r.o.,https://www.pivovar-feldsberg.cz,1,1
126,Rojc,NULL,Česká republika,minipivovar,Rozdrojovice,Jihomoravský kraj,"Rozdrojovice, 66434 Rozdrojovice",2018,19971265,ROJC s.r.o.,https://www.rojc.cz/,NULL,0
127,U Tomana,NULL,Česká republika,restaurační pivovar,Brno,Jihomoravský kraj,"Náměstí Svobody 93/22, Brno",2018,NULL,LERAM brewery s.r.o.,https://utomana.cz/cz/,1,1
128,Březácký Sup,NULL,Česká republika,minipivovar,Březí,Jihomoravský kraj,"Hlavní 49, 69181 Březí",2018,6619304,pivovaRT s.r.o.,https://www.brezackysup.cz/,1,1
129,Starý dvůr,NULL,Česká republika,restaurační pivovar,Prušánky,Jihomoravský kraj,"Prušánky 132, 696 21 Prušánky",2019,1910485,Myslivecké sdružení Rýzmberk Starý Dvůr,www.penzionprusanky.cz,1,1
130,Fagan,NULL,Česká republika,minipivovar,Brno,Jihomoravský kraj,"Útěchovská 251/48, 644 00 Brno",2019,5624177,Neil Fagan,https://www.fagan.com/,0,0
131,Slovácký pivovar,NULL,Česká republika,minipivovar,Šardice,Jihomoravský kraj,Šardice 1,2019,3535177,"Slovácký pivovar, s.r.o.",https://www.facebook.com/p/Slov%C3%A1ck%C3%BD-pivovar-100057003777192/,0,NULL
132,Stern,NULL,Česká republika,minipivovar,Brno,Jihomoravský kraj,"Komárovská 466/16, Komárov, 617 00 Brno",2019,6867308,Pivovar Stern s.r.o.,https://www.pivovarstern.cz/,1,1
133,Klášterní pivovar Porta Coeli,NULL,Česká republika,restaurační pivovar,Předklášteří,Jihomoravský kraj,"Pivovarská 1002, 666 02 Předklášteří",2019,6461832,"Klášterní pivovar Porta Coeli, a.s.",https://www.vorkloster.cz/,1,1
